Seed,Listed Name,Team,Grade,Record,Scoring,Weight,Last Name,First Name,Name,Wgt-Seed,Full Listing,Points,,,,,,,,,,,
18,"McGee, DJ",George Mason,,24-4,Yes,157,McGee,DJ,DJ McGee,157lbs-18,#18 DJ McGee (GMU) 24-4,0,,,,,,,,,,,
19,"Owen, Kai",Columbia,,18-7,Yes,157,Owen,Kai,Kai Owen,157lbs-19,#19 Kai Owen (COL) 18-7,0,,,,,,,,,,,
20,"Harrington, Jimmy",Harvard,,21-8,Yes,157,Harrington,Jimmy,Jimmy Harrington,157lbs-20,#20 Jimmy Harrington (HARV) 21-8,0,,,,,,,,,,,
21,"Millard, Charlie",Minnesota,,18-9,Yes,157,Millard,Charlie,Charlie Millard,157lbs-21,#21 Charlie Millard (MINN) 18-9,0,,,,,,,,,,,
22,"Washleski, Colton",Virginia,,20-10,Yes,157,Washleski,Colton,Colton Washleski,157lbs-22,#22 Colton Washleski (UVA) 20-10,0,,,,,,,,,,,
23,"Burgess, Kaleb",Buffalo,,18-7,Yes,157,Burgess,Kaleb,Kaleb Burgess,157lbs-23,#23 Kaleb Burgess (BUFF) 18-7,0,,,,,,,,,,,
24,"Jones, Jaivon",Little Rock,,19-9,Yes,157,Jones,Jaivon,Jaivon Jones,157lbs-24,#24 Jaivon Jones (LR) 19-9,0,,,,,,,,,,,
25,"Shrader, Mason",Central Michigan,,24-10,Yes,157,Shrader,Mason,Mason Shrader,157lbs-25,#25 Mason Shrader (CMU) 24-10,0,,,,,,,,,,,
26,"Ley, Jonathan",Navy,,26-12,Yes,157,Ley,Jonathan,Jonathan Ley,157lbs-26,#26 Jonathan Ley (NAVY) 26-12,0,,,,,,,,,,,
27,"Evans, Dylan",Pittsburgh,,21-8,Yes,157,Evans,Dylan,Dylan Evans,157lbs-27,#27 Dylan Evans (PITT) 21-8,0,,,,,,,,,,,
28,"Drexler, Gavin",North Dakota State,,16-10,Yes,157,Drexler,Gavin,Gavin Drexler,157lbs-28,#28 Gavin Drexler (NDSU) 16-10,0,,,,,,,,,,,
29,"Lowery, Bryce",Indiana,,11-Dec,Yes,157,Lowery,Bryce,Bryce Lowery,157lbs-29,#29 Bryce Lowery (IND) 12-11,0,,,,,,,,,,,
30,"Root, Laird",North Carolina,,16-11,Yes,157,Root,Laird,Laird Root,157lbs-30,#30 Laird Root (UNC) 16-11,0,,,,,,,,,,,
31,"McChesney, Garrett",Edinboro,,14-Dec,Yes,157,McChesney,Garrett,Garrett McChesney,157lbs-31,#31 Garrett McChesney (EDIN) 12-14,0,,,,,,,,,,,
32,"Prechtel, Jeb",Bellarmine,,18-14,Yes,157,Prechtel,Jeb,Jeb Prechtel,157lbs-32,#32 Jeb Prechtel (BELL) 18-14,0,,,,,,,,,,,
33,"Charles, Yannis",Morgan State,,8-May,Yes,157,Charles,Yannis,Yannis Charles,157lbs-33,#33 Yannis Charles (MOST) 5-8,0,,,,,,,,,,,
1,"Mesenbrink, Mitchell",Penn State,,22-0,Yes,165,Mesenbrink,Mitchell,Mitchell Mesenbrink,165lbs-1,#1 Mitchell Mesenbrink (PSU) 22-0,0,,,,,,,,,,,
2,"Blaze, Joey",Purdue,,22-1,Yes,165,Blaze,Joey,Joey Blaze,165lbs-2,#2 Joey Blaze (PUR) 22-1,0,,,,,,,,,,,
3,"Caliendo, Mikey",Iowa,,18-4,Yes,165,Caliendo,Mikey,Mikey Caliendo,165lbs-3,#3 Mikey Caliendo (IOWA) 18-4,0,,,,,,,,,,,
4,"Ruiz, Nicco",Arizona State,,23-5,Yes,165,Ruiz,Nicco,Nicco Ruiz,165lbs-4,#4 Nicco Ruiz (ASU) 23-5,0,,,,,,,,,,,
5,"Lockett, LaDarion",Oklahoma State,,16-2,Yes,165,Lockett,LaDarion,LaDarion Lockett,165lbs-5,#5 LaDarion Lockett (OKST) 16-2,0,,,,,,,,,,,
6,"Araujo, LJ",Nebraska,,18-8,Yes,165,Araujo,LJ,LJ Araujo,165lbs-6,#6 LJ Araujo (NEB) 18-8,0,,,,,,,,,,,
7,"Brignola, Max",Lehigh,,17-4,Yes,165,Brignola,Max,Max Brignola,165lbs-7,#7 Max Brignola (LEH) 17-4,0,,,,,,,,,,,
8,"Bianchi, Matty",Little Rock,,19-2,Yes,165,Bianchi,Matty,Matty Bianchi,165lbs-8,#8 Matty Bianchi (LR) 19-2,0,,,,,,,,,,,
9,"Hepner, Bryce",North Carolina,,15-4,Yes,165,Hepner,Bryce,Bryce Hepner,165lbs-9,#9 Bryce Hepner (UNC) 15-4,0,,,,,,,,,,,
10,"Denny, Will",NC State,,16-4,Yes,165,Denny,Will,Will Denny,165lbs-10,#10 Will Denny (NCST) 16-4,0,,,,,,,,,,,
11,"Downey, Ryder",Northern Iowa,,21-5,Yes,165,Downey,Ryder,Ryder Downey,165lbs-11,#11 Ryder Downey (UNI) 21-5,0,,,,,,,,,,,
12,"Alvan, Cesar",Columbia,,27-8,Yes,165,Alvan,Cesar,Cesar Alvan,165lbs-12,#12 Cesar Alvan (COL) 27-8,0,,,,,,,,,,,
13,"Sparks, Andrew",Minnesota,,19-6,Yes,165,Sparks,Andrew,Andrew Sparks,165lbs-13,#13 Andrew Sparks (MINN) 19-6,0,,,,,,,,,,,
14,"Barbosa, Andrew",Rutgers,,18-8,Yes,165,Barbosa,Andrew,Andrew Barbosa,165lbs-14,#14 Andrew Barbosa (RUT) 18-8,0,,,,,,,,,,,
15,"Euton, Connor",Iowa State,,17-7,Yes,165,Euton,Connor,Connor Euton,165lbs-15,#15 Connor Euton (ISU) 17-7,0,,,,,,,,,,,
16,"Gallagher, Paddy",Ohio State,,15-8,Yes,165,Gallagher,Paddy,Paddy Gallagher,165lbs-16,#16 Paddy Gallagher (OHST) 15-8,0,,,,,,,,,,,
17,"Scoles, Braeden",Illinois,,16-9,Yes,165,Scoles,Braeden,Braeden Scoles,165lbs-17,#17 Braeden Scoles (ILL) 16-9,0,,,,,,,,,,,
18,"Filipowicz, Gunner",Army West Point,,19-6,Yes,165,Filipowicz,Gunner,Gunner Filipowicz,165lbs-18,#18 Gunner Filipowicz (ARMY) 19-6,0,,,,,,,,,,,
19,"Mulvaney, Noah",Bucknell,,25-7,Yes,165,Mulvaney,Noah,Noah Mulvaney,165lbs-19,#19 Noah Mulvaney (BUCK) 25-7,0,,,,,,,,,,,
20,"Whalen, Ty",Princeton,,20-7,Yes,165,Whalen,Ty,Ty Whalen,165lbs-20,#20 Ty Whalen (PRIN) 20-7,0,,,,,,,,,,,
21,"Woodcock, Brock",SIU Edwardsville,,28-9,Yes,165,Woodcock,Brock,Brock Woodcock,165lbs-21,#21 Brock Woodcock (SIUE) 28-9,0,,,,,,,,,,,
22,"Olguin, Matthew",Oregon State,,17-5,Yes,165,Olguin,Matthew,Matthew Olguin,165lbs-22,#22 Matthew Olguin (ORST) 17-5,0,,,,,,,,,,,
23,"Earnest, Chris",Kent State,,18-6,Yes,165,Earnest,Chris,Chris Earnest,165lbs-23,#23 Chris Earnest (KENT) 18-6,0,,,,,,,,,,,
24,"Seefeldt, Sean",Penn,,20-7,Yes,165,Seefeldt,Sean,Sean Seefeldt,165lbs-24,#24 Sean Seefeldt (PENN) 20-7,0,,,,,,,,,,,
25,"Church, Mac",Virginia Tech,,24-10,Yes,165,Church,Mac,Mac Church,165lbs-25,#25 Mac Church (VT) 24-10,0,,,,,,,,,,,
26,"Lillard, Tyler",Indiana,,9-Dec,Yes,165,Lillard,Tyler,Tyler Lillard,165lbs-26,#26 Tyler Lillard (IND) 12-9,0,,,,,,,,,,,
27,"Parco, EJ",Stanford,,7-Dec,Yes,165,Parco,EJ,EJ Parco,165lbs-27,#27 EJ Parco (STAN) 12-7,0,,,,,,,,,,,
28,"Goebel, Cody",Wisconsin,,11-Dec,Yes,165,Goebel,Cody,Cody Goebel,165lbs-28,#28 Cody Goebel (WISC) 12-11,0,,,,,,,,,,,
29,"Burgos, Ryan",Edinboro,,20-7,Yes,165,Burgos,Ryan,Ryan Burgos,165lbs-29,#29 Ryan Burgos (EDIN) 20-7,0,,,,,,,,,,,
30,"Snipes, Thomas",The Citadel,,22-7,Yes,165,Snipes,Thomas,Thomas Snipes,165lbs-30,#30 Thomas Snipes (CIT) 22-7,0,,,,,,,,,,,
31,"Keslar, Jared",Pittsburgh,,15-13,Yes,165,Keslar,Jared,Jared Keslar,165lbs-31,#31 Jared Keslar (PITT) 15-13,0,,,,,,,,,,,
32,"Walsh, Cody",Drexel,,27-13,Yes,165,Walsh,Cody,Cody Walsh,165lbs-32,#32 Cody Walsh (DREX) 27-13,0,,,,,,,,,,,
33,"Vigil, Ryan",VMI,,14-9,Yes,165,Vigil,Ryan,Ryan Vigil,165lbs-33,#33 Ryan Vigil (VMI) 14-9,0,,,,,,,,,,,
1,"Haines, Levi",Penn State,,21-0,Yes,174,Haines,Levi,Levi Haines,174lbs-1,#1 Levi Haines (PSU) 21-0,0,,,,,,,,,,,
2,"Ruiz, Simon",Cornell,,16-0,Yes,174,Ruiz,Simon,Simon Ruiz,174lbs-2,#2 Simon Ruiz (COR) 16-0,0,,,,,,,,,,,
3,"Minto, Christopher",Nebraska,,20-5,Yes,174,Minto,Christopher,Christopher Minto,174lbs-3,#3 Christopher Minto (NEB) 20-5,0,,,,,,,,,,,
4,"Kharchla, Carson",Ohio State,,18-4,Yes,174,Kharchla,Carson,Carson Kharchla,174lbs-4,#4 Carson Kharchla (OHST) 18-4,0,,,,,,,,,,,
5,"Kennedy, Patrick",Iowa,,18-4,Yes,174,Kennedy,Patrick,Patrick Kennedy,174lbs-5,#5 Patrick Kennedy (IOWA) 18-4,0,,,,,,,,,,,
6,"Singleton, Matty",NC State,,16-3,Yes,174,Singleton,Matty,Matty Singleton,174lbs-6,#6 Matty Singleton (NCST) 16-3,0,,,,,,,,,,,
7,"Steed, Cam",Missouri,,15-5,Yes,174,Steed,Cam,Cam Steed,174lbs-7,#7 Cam Steed (MIZZ) 15-5,0,,,,,,,,,,,
8,"Facundo, Alex",Oklahoma State,,16-6,Yes,174,Facundo,Alex,Alex Facundo,174lbs-8,#8 Alex Facundo (OKST) 16-6,0,,,,,,,,,,,
9,"Mantanona, Beau",Michigan,,21-7,Yes,174,Mantanona,Beau,Beau Mantanona,174lbs-9,#9 Beau Mantanona (MICH) 21-7,0,,,,,,,,,,,
10,"Takats, Myles",Bucknell,,22-6,Yes,174,Takats,Myles,Myles Takats,174lbs-10,#10 Myles Takats (BUCK) 22-6,0,,,,,,,,,,,
11,"Gaitan, MJ",Iowa State,,16-6,Yes,174,Gaitan,MJ,MJ Gaitan,174lbs-11,#11 MJ Gaitan (ISU) 16-6,0,,,,,,,,,,,
12,"Schubert, Carter",Oklahoma,,19-6,Yes,174,Schubert,Carter,Carter Schubert,174lbs-12,#12 Carter Schubert (OU) 19-6,0,,,,,,,,,,,
13,"Baer, Carter",Binghamton,,18-4,Yes,174,Baer,Carter,Carter Baer,174lbs-13,#13 Carter Baer (BING) 18-4,0,,,,,,,,,,,
14,"Espinoza-Owens, Moses",South Dakota State,,27-8,Yes,174,Espinoza-Owens,Moses,Moses Espinoza-Owens,174lbs-14,#14 Moses Espinoza-Owens (SDSU) 27-8,0,,,,,,,,,,,
15,"Wask, Danny",Navy,,22-4,Yes,174,Wask,Danny,Danny Wask,174lbs-15,#15 Danny Wask (NAVY) 22-4,0,,,,,,,,,,,
16,"Fine, Nick",Columbia,,24-8,Yes,174,Fine,Nick,Nick Fine,174lbs-16,#16 Nick Fine (COL) 24-8,0,,,,,,,,,,,
17,"Simma, Jared",Northern Iowa,,14-9,Yes,174,Simma,Jared,Jared Simma,174lbs-17,#17 Jared Simma (UNI) 14-9,0,,,,,,,,,,,
18,"Kelly, Colin",Illinois,,18-8,Yes,174,Kelly,Colin,Colin Kelly,174lbs-18,#18 Colin Kelly (ILL) 18-8,0,,,,,,,,,,,
19,"Messer, Logan",George Mason,,26-6,Yes,174,Messer,Logan,Logan Messer,174lbs-19,#19 Logan Messer (GMU) 26-6,0,,,,,,,,,,,
20,"Lamer, Daschle",Oregon State,,19-3,Yes,174,Lamer,Daschle,Daschle Lamer,174lbs-20,#20 Daschle Lamer (ORST) 19-3,0,,,,,,,,,,,
21,"Pinto, Lenny",Rutgers,,13-10,Yes,174,Pinto,Lenny,Lenny Pinto,174lbs-21,#21 Lenny Pinto (RUT) 13-10,0,,,,,,,,,,,
22,"Baumann, Brody",Purdue,,16-8,Yes,174,Baumann,Brody,Brody Baumann,174lbs-22,#22 Brody Baumann (PUR) 16-8,0,,,,,,,,,,,
23,"Augustine, Luca",Pittsburgh,,6-Dec,Yes,174,Augustine,Luca,Luca Augustine,174lbs-23,#23 Luca Augustine (PITT) 12-6,0,,,,,,,,,,,
24,"Thompson, Garrett",Ohio,,16-3,Yes,174,Thompson,Garrett,Garrett Thompson,174lbs-24,#24 Garrett Thompson (OHIO) 16-3,0,,,,,,,,,,,
25,"Desiante, Sergio",Virginia Tech,,20-13,Yes,174,Desiante,Sergio,Sergio Desiante,174lbs-25,#25 Sergio Desiante (VT) 20-13,0,,,,,,,,,,,
26,"Gilcher, Derek",Indiana,,14-10,Yes,174,Gilcher,Derek,Derek Gilcher,174lbs-26,#26 Derek Gilcher (IND) 14-10,0,,,,,,,,,,,
27,"Carrigan, Collin",North Carolina,,13-10,Yes,174,Carrigan,Collin,Collin Carrigan,174lbs-27,#27 Collin Carrigan (UNC) 13-10,0,,,,,,,,,,,
28,"Garcia, Holden",Princeton,,21-10,Yes,174,Garcia,Holden,Holden Garcia,174lbs-28,#28 Holden Garcia (PRIN) 21-10,0,,,,,,,,,,,
29,"Bassett, Avery",Lock Haven,,22-7,Yes,174,Bassett,Avery,Avery Bassett,174lbs-29,#29 Avery Bassett (LHU) 22-7,0,,,,,,,,,,,
30,"Davis, Riley",Wyoming,,10-Nov,Yes,174,Davis,Riley,Riley Davis,174lbs-30,#30 Riley Davis (WYO) 11-10,0,,,,,,,,,,,
31,"Valencia, Cael",Arizona State,,16-10,Yes,174,Valencia,Cael,Cael Valencia,174lbs-31,#31 Cael Valencia (ASU) 16-10,0,,,,,,,,,,,
32,"Condon, Luke",Wisconsin,,13-13,Yes,174,Condon,Luke,Luke Condon,174lbs-32,#32 Luke Condon (WISC) 13-13,0,,,,,,,,,,,
33,"O`Dell, Grant",Bellarmine,,24-8,Yes,174,O`Dell,Grant,Grant O`Dell,174lbs-33,#33 Grant O`Dell (BELL) 24-8,0,,,,,,,,,,,
1,"Welsh, Rocco",Penn State,,20-0,Yes,184,Welsh,Rocco,Rocco Welsh,184lbs-1,#1 Rocco Welsh (PSU) 20-0,0,,,,,,,,,,,
2,"Sinclair, Aeoden",Missouri,,30-1,Yes,184,Sinclair,Aeoden,Aeoden Sinclair,184lbs-2,#2 Aeoden Sinclair (MIZZ) 30-1,0,,,,,,,,,,,
3,"McEnelly, Max",Minnesota,,19-2,Yes,184,McEnelly,Max,Max McEnelly,184lbs-3,#3 Max McEnelly (MINN) 19-2,0,,,,,,,,,,,
4,"Conway, James",Franklin & Marshall,,32-2,Yes,184,Conway,James,James Conway,184lbs-4,#4 James Conway (F&M) 32-2,0,,,,,,,,,,,
5,"Mantanona, Brock",Michigan,,19-6,Yes,184,Mantanona,Brock,Brock Mantanona,184lbs-5,#5 Brock Mantanona (MICH) 19-6,0,,,,,,,,,,,
6,"Neitenbach, Eddie",Wyoming,,20-6,Yes,184,Neitenbach,Eddie,Eddie Neitenbach,184lbs-6,#6 Eddie Neitenbach (WYO) 20-6,0,,,,,,,,,,,
7,"Ferrari, Angelo",Iowa,,3-Nov,Yes,184,Ferrari,Angelo,Angelo Ferrari,184lbs-7,#7 Angelo Ferrari (IOWA) 11-3,0,,,,,,,,,,,
8,"Allred, Silas",Nebraska,,17-7,Yes,184,Allred,Silas,Silas Allred,184lbs-8,#8 Silas Allred (NEB) 17-7,0,,,,,,,,,,,
9,"Moore, Chris",Illinois,,18-10,Yes,184,Moore,Chris,Chris Moore,184lbs-9,#9 Chris Moore (ILL) 18-10,0,,,,,,,,,,,
10,"Campos, Caleb",American,,25-6,Yes,184,Campos,Caleb,Caleb Campos,184lbs-10,#10 Caleb Campos (AMER) 25-6,0,,,,,,,,,,,
11,"Cartagena-Walsh, Shane",Rutgers,,24-8,Yes,184,Cartagena-Walsh,Shane,Shane Cartagena-Walsh,184lbs-11,#11 Shane Cartagena-Walsh (RUT) 24-8,0,,,,,,,,,,,
12,"Fishback, Dylan",Ohio State,,18-8,Yes,184,Fishback,Dylan,Dylan Fishback,184lbs-12,#12 Dylan Fishback (OHST) 18-8,0,,,,,,,,,,,
13,"Dean, Isaac",Iowa State,,17-7,Yes,184,Dean,Isaac,Isaac Dean,184lbs-13,#13 Isaac Dean (ISU) 17-7,0,,,,,,,,,,,
14,"Bullock, Jaden",Virginia Tech,,20-10,Yes,184,Bullock,Jaden,Jaden Bullock,184lbs-14,#14 Jaden Bullock (VT) 20-10,0,,,,,,,,,,,
15,"Perrine, Sal",Ohio,,19-4,Yes,184,Perrine,Sal,Sal Perrine,184lbs-15,#15 Sal Perrine (OHIO) 19-4,0,,,,,,,,,,,
16,"Rogers, Rylan",Lehigh,,18-6,Yes,184,Rogers,Rylan,Rylan Rogers,184lbs-16,#16 Rylan Rogers (LEH) 18-6,0,,,,,,,,,,,
17,"Bush, Ian",West Virginia,,19-10,Yes,184,Bush,Ian,Ian Bush,184lbs-17,#17 Ian Bush (WVU) 19-10,0,,,,,,,,,,,
18,"Dailey, Jake",North Carolina,,18-4,Yes,184,Dailey,Jake,Jake Dailey,184lbs-18,#18 Jake Dailey (UNC) 18-4,0,,,,,,,,,,,
19,"McGill, Jared",Edinboro,,17-3,Yes,184,McGill,Jared,Jared McGill,184lbs-19,#19 Jared McGill (EDIN) 17-3,0,,,,,,,,,,,
20,"Soldano, Brian",Oklahoma,,13-8,Yes,184,Soldano,Brian,Brian Soldano,184lbs-20,#20 Brian Soldano (OU) 13-8,0,,,,,,,,,,,
21,"Brooker, Tomas",Appalachian State,,26-8,Yes,184,Brooker,Tomas,Tomas Brooker,184lbs-21,#21 Tomas Brooker (APP) 26-8,0,,,,,,,,,,,
22,"Ryder, Zack",Oklahoma State,,8-Dec,Yes,184,Ryder,Zack,Zack Ryder,184lbs-22,#22 Zack Ryder (OKST) 12-8,0,,,,,,,,,,,
23,"Garza, Ceasar",Cal Poly,,18-2,Yes,184,Garza,Ceasar,Ceasar Garza,184lbs-23,#23 Ceasar Garza (CP) 18-2,0,,,,,,,,,,,
24,"Curtis, Joe",Columbia,,26-2,Yes,184,Curtis,Joe,Joe Curtis,184lbs-24,#24 Joe Curtis (COL) 26-2,0,,,,,,,,,,,
25,"DuVall, Malachi",George Mason,,24-5,Yes,184,DuVall,Malachi,Malachi DuVall,184lbs-25,#25 Malachi DuVall (GMU) 24-5,0,,,,,,,,,,,
26,"Kranitz, Chase",Pittsburgh,,15-9,Yes,184,Kranitz,Chase,Chase Kranitz,184lbs-26,#26 Chase Kranitz (PITT) 15-9,0,,,,,,,,,,,
27,"Brenot, Aidan",North Dakota State,,16-9,Yes,184,Brenot,Aidan,Aidan Brenot,184lbs-27,#27 Aidan Brenot (NDSU) 16-9,0,,,,,,,,,,,
28,"Wojcikiewicz, Abraham",Stanford,,17-11,Yes,184,Wojcikiewicz,Abraham,Abraham Wojcikiewicz,184lbs-28,#28 Abraham Wojcikiewicz (STAN) 17-11,0,,,,,,,,,,,
29,"Fox, Nick",Northern Iowa,,5-Dec,Yes,184,Fox,Nick,Nick Fox,184lbs-29,#29 Nick Fox (UNI) 12-5,0,,,,,,,,,,,
30,"Bienus, Tyler",Bucknell,,19-14,Yes,184,Bienus,Tyler,Tyler Bienus,184lbs-30,#30 Tyler Bienus (BUCK) 19-14,0,,,,,,,,,,,
31,"Rushton, Mahonri",Northern Colorado,,17-14,Yes,184,Rushton,Mahonri,Mahonri Rushton,184lbs-31,#31 Mahonri Rushton (UNCO) 17-14,0,,,,,,,,,,,
32,"Uhlenhopp, Caleb",Utah Valley,,16-14,Yes,184,Uhlenhopp,Caleb,Caleb Uhlenhopp,184lbs-32,#32 Caleb Uhlenhopp (UVU) 16-14,0,,,,,,,,,,,
33,"Goin, Sam",Indiana,,8-Dec,Yes,184,Goin,Sam,Sam Goin,184lbs-33,#33 Sam Goin (IND) 12-8,0,,,,,,,,,,,
1,"Barr, Josh",Penn State,,19-0,Yes,197,Barr,Josh,Josh Barr,197lbs-1,#1 Josh Barr (PSU) 19-0,0,,,,,,,,,,,
2,"Elam, Rocky",Iowa State,,18-0,Yes,197,Elam,Rocky,Rocky Elam,197lbs-2,#2 Rocky Elam (ISU) 18-0,0,,,,,,,,,,,
3,"Little, Stephen",Little Rock,,15-2,Yes,197,Little,Stephen,Stephen Little,197lbs-3,#3 Stephen Little (LR) 15-2,0,,,,,,,,,,,
4,"Sasso, Sonny",Virginia Tech,,25-5,Yes,197,Sasso,Sonny,Sonny Sasso,197lbs-4,#4 Sonny Sasso (VT) 25-5,0,,,,,,,,,,,
5,"Novak, Joey",Wyoming,,17-3,Yes,197,Novak,Joey,Joey Novak,197lbs-5,#5 Joey Novak (WYO) 17-3,0,,,,,,,,,,,
6,"Rademacher, Justin",Oregon State,,23-3,Yes,197,Rademacher,Justin,Justin Rademacher,197lbs-6,#6 Justin Rademacher (ORST) 23-3,0,,,,,,,,,,,
7,"Merrill, Cody",Oklahoma State,,17-4,Yes,197,Merrill,Cody,Cody Merrill,197lbs-7,#7 Cody Merrill (OKST) 17-4,0,,,,,,,,,,,
8,"Parker, DJ",Oklahoma,,19-8,Yes,197,Parker,DJ,DJ Parker,197lbs-8,#8 DJ Parker (OU) 19-8,0,,,,,,,,,,,
9,"Posada, Angelo",Stanford,,16-5,Yes,197,Posada,Angelo,Angelo Posada,197lbs-9,#9 Angelo Posada (STAN) 16-5,0,,,,,,,,,,,
10,"Stout, Mac",Pittsburgh,,19-4,Yes,197,Stout,Mac,Mac Stout,197lbs-10,#10 Mac Stout (PITT) 19-4,0,,,,,,,,,,,
11,"McDanel, Camden",Nebraska,,20-6,Yes,197,McDanel,Camden,Camden McDanel,197lbs-11,#11 Camden McDanel (NEB) 20-6,0,,,,,,,,,,,
12,"Geog, Luke",Ohio State,,16-7,Yes,197,Geog,Luke,Luke Geog,197lbs-12,#12 Luke Geog (OHST) 16-7,0,,,,,,,,,,,
13,"Berge, Bennett",South Dakota State,,16-5,Yes,197,Berge,Bennett,Bennett Berge,197lbs-13,#13 Bennett Berge (SDSU) 16-5,0,,,,,,,,,,,
14,"Sollars, Gabe",Indiana,,15-10,Yes,197,Sollars,Gabe,Gabe Sollars,197lbs-14,#14 Gabe Sollars (IND) 15-10,0,,,,,,,,,,,
15,"Cotton, Remy",Rutgers,,18-7,Yes,197,Cotton,Remy,Remy Cotton,197lbs-15,#15 Remy Cotton (RUT) 18-7,0,,,,,,,,,,,
16,"John, Branson",Maryland,,25-7,Yes,197,John,Branson,Branson John,197lbs-16,#16 Branson John (MARY) 25-7,0,,,,,,,,,,,
17,"Bechtold, Dillon",Bucknell,,15-4,Yes,197,Bechtold,Dillon,Dillon Bechtold,197lbs-17,#17 Dillon Bechtold (BUCK) 15-4,0,,,,,,,,,,,
18,"Reall, Andrew",Brown,,34-4,Yes,197,Reall,Andrew,Andrew Reall,197lbs-18,#18 Andrew Reall (BRWN) 34-4,0,,,,,,,,,,,
19,"Lehman, Zayne",Ohio,,19-2,Yes,197,Lehman,Zayne,Zayne Lehman,197lbs-19,#19 Zayne Lehman (OHIO) 19-2,0,,,,,,,,,,,
20,"Ingham, Wyatt",Wisconsin,,17-8,Yes,197,Ingham,Wyatt,Wyatt Ingham,197lbs-20,#20 Wyatt Ingham (WISC) 17-8,0,,,,,,,,,,,
21,"Lawrence, Rune",West Virginia,,17-11,Yes,197,Lawrence,Rune,Rune Lawrence,197lbs-21,#21 Rune Lawrence (WVU) 17-11,0,,,,,,,,,,,
22,"Wasley, Devin",North Dakota State,,21-10,Yes,197,Wasley,Devin,Devin Wasley,197lbs-22,#22 Devin Wasley (NDSU) 21-10,0,,,,,,,,,,,
23,"Squires, Mikey",Binghamton,,19-3,Yes,197,Squires,Mikey,Mikey Squires,197lbs-23,#23 Mikey Squires (BING) 19-3,0,,,,,,,,,,,
24,"Zurawski, Brock",Rider,,22-5,Yes,197,Zurawski,Brock,Brock Zurawski,197lbs-24,#24 Brock Zurawski (RID) 22-5,0,,,,,,,,,,,
25,"Bates, Evan",Missouri,,21-9,Yes,197,Bates,Evan,Evan Bates,197lbs-25,#25 Evan Bates (MIZZ) 21-9,0,,,,,,,,,,,
26,"Vanadia, Ben",Purdue,,15-10,Yes,197,Vanadia,Ben,Ben Vanadia,197lbs-26,#26 Ben Vanadia (PUR) 15-10,0,,,,,,,,,,,
27,"Arnold, Gabe",Iowa,,18-7,Yes,197,Arnold,Gabe,Gabe Arnold,197lbs-27,#27 Gabe Arnold (IOWA) 18-7,0,,,,,,,,,,,
28,"Wisler, Kael",Michigan State,,25-10,Yes,197,Wisler,Kael,Kael Wisler,197lbs-28,#28 Kael Wisler (MSU) 25-10,0,,,,,,,,,,,
29,"Hawks, Colton",Arizona State,,9-Jul,Yes,197,Hawks,Colton,Colton Hawks,197lbs-29,#29 Colton Hawks (ASU) 7-9,0,,,,,,,,,,,
30,"Rule, Kade",Chattanooga,,18-5,Yes,197,Rule,Kade,Kade Rule,197lbs-30,#30 Kade Rule (CHAT) 18-5,0,,,,,,,,,,,
31,"Bennie, Kael",Utah Valley,,15-16,Yes,197,Bennie,Kael,Kael Bennie,197lbs-31,#31 Kael Bennie (UVU) 15-16,0,,,,,,,,,,,
32,"Schaffer, Blake",Kent State,,22-9,Yes,197,Schaffer,Blake,Blake Schaffer,197lbs-32,#32 Blake Schaffer (KENT) 22-9,0,,,,,,,,,,,
33,"Tompkins, Karson",Air Force,,21-12,Yes,197,Tompkins,Karson,Karson Tompkins,197lbs-33,#33 Karson Tompkins (AF) 21-12,0,,,,,,,,,,,
1,"Bastida, Yonger",Iowa State,,25-0,Yes,285,Bastida,Yonger,Yonger Bastida,285lbs-1,#1 Yonger Bastida (ISU) 25-0,0,,,,,,,,,,,
2,"Trumble, Isaac",NC State,,16-0,Yes,285,Trumble,Isaac,Isaac Trumble,285lbs-2,#2 Isaac Trumble (NCST) 16-0,0,,,,,,,,,,,
3,"Ghadiali, Taye",Michigan,,23-2,Yes,285,Ghadiali,Taye,Taye Ghadiali,285lbs-3,#3 Taye Ghadiali (MICH) 23-2,0,,,,,,,,,,,
4,"Ferrari, AJ",Nebraska,,15-3,Yes,285,Ferrari,AJ,AJ Ferrari,285lbs-4,#4 AJ Ferrari (NEB) 15-3,0,,,,,,,,,,,
5,"Feldman, Nick",Ohio State,,23-5,Yes,285,Feldman,Nick,Nick Feldman,285lbs-5,#5 Nick Feldman (OHST) 23-5,0,,,,,,,,,,,
6,"Taylor, Nathan",Lehigh,,16-3,Yes,285,Taylor,Nathan,Nathan Taylor,285lbs-6,#6 Nathan Taylor (LEH) 16-3,0,,,,,,,,,,,
7,"Doucet, Konner",Oklahoma State,,17-3,Yes,285,Doucet,Konner,Konner Doucet,285lbs-7,#7 Konner Doucet (OKST) 17-3,0,,,,,,,,,,,
8,"Kueter, Ben",Iowa,,7-Sep,Yes,285,Kueter,Ben,Ben Kueter,285lbs-8,#8 Ben Kueter (IOWA) 9-7,0,,,,,,,,,,,
9,"Mirasola, Cole",Penn State,,17-6,Yes,285,Mirasola,Cole,Cole Mirasola,285lbs-9,#9 Cole Mirasola (PSU) 17-6,0,,,,,,,,,,,
10,"Szuba, David",Arizona State,,22-9,Yes,285,Szuba,David,David Szuba,285lbs-10,#10 David Szuba (ASU) 22-9,0,,,,,,,,,,,
