Seed,Listed Name,Team,Grade,Record,Scoring,Weight,Last Name,First Name,Name,Wgt-Seed,Full Listing,Points,,,,,,,,,,,
2,"Davino, Ben",Ohio State,,27-1,Yes,133,Davino,Ben,Ben Davino,133lbs-2,#2 Ben Davino (OHST) 27-1,0,,,,,,,,,,,
3,"Blaze, Marcus",Penn State,,21-1,Yes,133,Blaze,Marcus,Marcus Blaze,133lbs-3,#3 Marcus Blaze (PSU) 21-1,0,,,,,,,,,,,
4,"Seidel, Aaron",Virginia Tech,,18-1,Yes,133,Seidel,Aaron,Aaron Seidel,133lbs-4,#4 Aaron Seidel (VT) 18-1,0,,,,,,,,,,,
5,"Larkin, Kyler",Arizona State,,18-2,Yes,133,Larkin,Kyler,Kyler Larkin,133lbs-5,#5 Kyler Larkin (ASU) 18-2,0,,,,,,,,,,,
6,"Ayala, Drake",Iowa,,13-8,Yes,133,Ayala,Drake,Drake Ayala,133lbs-6,#6 Drake Ayala (IOWA) 13-8,0,,,,,,,,,,,
7,"Byrd, Lucas",Illinois,,20-2,Yes,133,Byrd,Lucas,Lucas Byrd,133lbs-7,#7 Lucas Byrd (ILL) 20-2,0,,,,,,,,,,,
8,"Baker, Markel",Northern Illinois,,26-4,Yes,133,Baker,Markel,Markel Baker,133lbs-8,#8 Markel Baker (NIU) 26-4,0,,,,,,,,,,,
9,"Serrano, Dominick",Northern Colorado,,15-3,Yes,133,Serrano,Dominick,Dominick Serrano,133lbs-9,#9 Dominick Serrano (UNCO) 15-3,0,,,,,,,,,,,
10,"Leete, Maximilian",American,,16-5,Yes,133,Leete,Maximilian,Maximilian Leete,133lbs-10,#10 Maximilian Leete (AMER) 16-5,0,,,,,,,,,,,
11,"Ferrara, Tyler",Cornell,,23-7,Yes,133,Ferrara,Tyler,Tyler Ferrara,133lbs-11,#11 Tyler Ferrara (COR) 23-7,0,,,,,,,,,,,
12,"Mougalian, Evan",Penn,,21-5,Yes,133,Mougalian,Evan,Evan Mougalian,133lbs-12,#12 Evan Mougalian (PENN) 21-5,0,,,,,,,,,,,
13,"Van Dee, Jacob",Nebraska,,17-6,Yes,133,Van Dee,Jacob,Jacob Van Dee,133lbs-13,#13 Jacob Van Dee (NEB) 17-6,0,,,,,,,,,,,
14,"Berginc, Ethan",Army West Point,,16-6,Yes,133,Berginc,Ethan,Ethan Berginc,133lbs-14,#14 Ethan Berginc (ARMY) 16-6,0,,,,,,,,,,,
15,"Knox, Tyler",Stanford,,14-5,Yes,133,Knox,Tyler,Tyler Knox,133lbs-15,#15 Tyler Knox (STAN) 14-5,0,,,,,,,,,,,
16,"Fugitt, Zan",Wisconsin,,20-6,Yes,133,Fugitt,Zan,Zan Fugitt,133lbs-16,#16 Zan Fugitt (WISC) 20-6,0,,,,,,,,,,,
17,"Davis, T.K.",Gardner-Webb,,24-1,Yes,133,Davis,T.K.,T.K. Davis,133lbs-17,#17 T.K. Davis (GWU) 24-1,0,,,,,,,,,,,
18,"Andrick, Gunner",West Virginia,,24-8,Yes,133,Andrick,Gunner,Gunner Andrick,133lbs-18,#18 Gunner Andrick (WVU) 24-8,0,,,,,,,,,,,
19,"Walker, Gage",Missouri,,17-7,Yes,133,Walker,Gage,Gage Walker,133lbs-19,#19 Gage Walker (MIZZ) 17-7,0,,,,,,,,,,,
